Zone,Branch Name,BCCL executive name,City/Location,Name of hospitals,Hoispital Address,No. of rooms,Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Days of delivery,Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/room),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
North,Jaipur,,Jaipur,religare,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,scientific dignostic ,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,TARUN CHEEMA,Jaipur,Metro Mas Hospital,MANSAROVAR,350,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,TARUN CHEEMA,Jaipur,Tagore Hospital,MANSAROVAR,300,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Gem Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Bani Park Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Mahatma Gandhi Hospital,,,TOI,2,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Naryana Hrudayaliya,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,TARUN CHEEMA,Jaipur,J K LONE,JLN MARG,175,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,TARUN CHEEMA,Jaipur,SANTOKBA DURLAB JI,RAM BAGH CIRCEL,300,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
